{'max_epoch': 10, 'train_batch_size': 2, 'last_iter': 0, 'finetune_lr': 5e-05, 'scratch_lr': 0.0005, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416, 'multi-scale': None, 'gpu': '0,1', 'multi-GPUs': False, 'fp16': False, 'warm_up_epochs': 3, 'seed': 2020}

iter: 64, bce1: 0.7282025, bce2: 0.7129715, bce3: 0.7199645, hinge1: 2.0120445, hinge2: 1.9586835, hinge3: 2.1124435, cla: 2.2038135, lr: 0.0000008
iter: 65, bce1: 0.7289955, bce2: 0.7125655, bce3: 0.7198015, hinge1: 2.0058615, hinge2: 1.9504045, hinge3: 2.1060315, cla: 2.1891245, lr: 0.0000008
iter: 66, bce1: 0.7295015, bce2: 0.7147915, bce3: 0.7198145, hinge1: 1.9975855, hinge2: 1.9455305, hinge3: 2.1115505, cla: 2.2010685, lr: 0.0000008
iter: 67, bce1: 0.7293935, bce2: 0.7144905, bce3: 0.7196115, hinge1: 1.9971165, hinge2: 1.9429975, hinge3: 2.1178005, cla: 2.2144535, lr: 0.0000008
iter: 68, bce1: 0.7293735, bce2: 0.7142625, bce3: 0.7199005, hinge1: 1.9978415, hinge2: 1.9422755, hinge3: 2.1177915, cla: 2.2011265, lr: 0.0000008
iter: 69, bce1: 0.7298745, bce2: 0.7147635, bce3: 0.7198715, hinge1: 1.9918235, hinge2: 1.9360565, hinge3: 2.1156365, cla: 2.2112355, lr: 0.0000008
iter: 70, bce1: 0.7298995, bce2: 0.7146085, bce3: 0.7200975, hinge1: 1.9969775, hinge2: 1.9393105, hinge3: 2.1145025, cla: 2.1954275, lr: 0.0000008
iter: 71, bce1: 0.7316595, bce2: 0.7153755, bce3: 0.7204015, hinge1: 1.9916255, hinge2: 1.9314875, hinge3: 2.1144545, cla: 2.1944785, lr: 0.0000008
iter: 72, bce1: 0.7312305, bce2: 0.7154165, bce3: 0.7203175, hinge1: 1.9947685, hinge2: 1.9361125, hinge3: 2.1128165, cla: 2.1983015, lr: 0.0000008
iter: 73, bce1: 0.7312005, bce2: 0.7151995, bce3: 0.7202195, hinge1: 1.9974665, hinge2: 1.9404525, hinge3: 2.1182335, cla: 2.2139375, lr: 0.0000008
iter: 74, bce1: 0.7304535, bce2: 0.7154355, bce3: 0.7205355, hinge1: 1.9934755, hinge2: 1.9419365, hinge3: 2.1204845, cla: 2.1994665, lr: 0.0000008
iter: 75, bce1: 0.7304695, bce2: 0.7151025, bce3: 0.7202765, hinge1: 1.9954955, hinge2: 1.9436245, hinge3: 2.1297085, cla: 2.2028015, lr: 0.0000008
iter: 76, bce1: 0.7305425, bce2: 0.7150775, bce3: 0.7202805, hinge1: 2.0005705, hinge2: 1.9473045, hinge3: 2.1230835, cla: 2.2034825, lr: 0.0000008
iter: 77, bce1: 0.7307655, bce2: 0.7158865, bce3: 0.7195315, hinge1: 2.0016155, hinge2: 1.9460065, hinge3: 2.1198515, cla: 2.2051585, lr: 0.0000008
iter: 78, bce1: 0.7298645, bce2: 0.7154985, bce3: 0.7198325, hinge1: 1.9955375, hinge2: 1.9424385, hinge3: 2.1247545, cla: 2.1944565, lr: 0.0000008
iter: 79, bce1: 0.7293455, bce2: 0.7155195, bce3: 0.7198875, hinge1: 1.9935615, hinge2: 1.9407525, hinge3: 2.1255155, cla: 2.2123155, lr: 0.0000008
