{'max_epoch': 12, 'train_batch_size': 2, 'last_iter': 0, 'finetune_lr': 5e-05, 'scratch_lr': 0.0005, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416, 'multi-scale': None, 'gpu': '0,1', 'multi-GPUs': False, 'fp16': True, 'warm_up_epochs': 3, 'seed': 2020}

iter: 111, bce1: 0.7289445, bce2: 0.7236225, bce3: 0.7122495, hinge1: 1.9886035, hinge2: 1.9842825, hinge3: 2.0895005, cla: 2.0818665, lr: 0.0000008
iter: 112, bce1: 0.7291425, bce2: 0.7237935, bce3: 0.7125125, hinge1: 1.9852125, hinge2: 1.9808155, hinge3: 2.0950415, cla: 2.0882305, lr: 0.0000008
iter: 113, bce1: 0.7293005, bce2: 0.7236705, bce3: 0.7128405, hinge1: 1.9825585, hinge2: 1.9780675, hinge3: 2.0995815, cla: 2.1211195, lr: 0.0000008
iter: 114, bce1: 0.7292225, bce2: 0.7236285, bce3: 0.7132625, hinge1: 1.9842705, hinge2: 1.9804605, hinge3: 2.1027095, cla: 2.1194265, lr: 0.0000008
iter: 115, bce1: 0.7293375, bce2: 0.7233425, bce3: 0.7132215, hinge1: 1.9825865, hinge2: 1.9779535, hinge3: 2.1051935, cla: 2.1432115, lr: 0.0000008
iter: 116, bce1: 0.7292465, bce2: 0.7231835, bce3: 0.7137945, hinge1: 1.9855355, hinge2: 1.9787295, hinge3: 2.1103175, cla: 2.1354475, lr: 0.0000008
iter: 117, bce1: 0.7292735, bce2: 0.7224505, bce3: 0.7139435, hinge1: 1.9847665, hinge2: 1.9763305, hinge3: 2.1076555, cla: 2.1276675, lr: 0.0000008
iter: 118, bce1: 0.7294935, bce2: 0.7221395, bce3: 0.7142945, hinge1: 1.9865345, hinge2: 1.9753175, hinge3: 2.1081595, cla: 2.1199415, lr: 0.0000008
iter: 119, bce1: 0.7298445, bce2: 0.7227835, bce3: 0.7140295, hinge1: 1.9804315, hinge2: 1.9693595, hinge3: 2.1057945, cla: 2.1174095, lr: 0.0000008
iter: 120, bce1: 0.7296935, bce2: 0.7226375, bce3: 0.7130875, hinge1: 1.9807815, hinge2: 1.9690375, hinge3: 2.1022385, cla: 2.1176645, lr: 0.0000008
iter: 121, bce1: 0.7297755, bce2: 0.7225265, bce3: 0.7131205, hinge1: 1.9804215, hinge2: 1.9675935, hinge3: 2.1027865, cla: 2.1101615, lr: 0.0000008
iter: 122, bce1: 0.7297155, bce2: 0.7225585, bce3: 0.7131405, hinge1: 1.9831485, hinge2: 1.9698875, hinge3: 2.1031375, cla: 2.1015535, lr: 0.0000008
iter: 123, bce1: 0.7295315, bce2: 0.7224695, bce3: 0.7132085, hinge1: 1.9870175, hinge2: 1.9736495, hinge3: 2.1001265, cla: 2.0941755, lr: 0.0000008
iter: 124, bce1: 0.7296955, bce2: 0.7222095, bce3: 0.7134295, hinge1: 1.9847325, hinge2: 1.9697305, hinge3: 2.1065125, cla: 2.0968255, lr: 0.0000008
iter: 125, bce1: 0.7295675, bce2: 0.7220745, bce3: 0.7126425, hinge1: 1.9884295, hinge2: 1.9768665, hinge3: 2.1008605, cla: 2.0918595, lr: 0.0000008
iter: 126, bce1: 0.7291705, bce2: 0.7219375, bce3: 0.7126435, hinge1: 1.9878245, hinge2: 1.9770745, hinge3: 2.1026795, cla: 2.0938035, lr: 0.0000008
iter: 127, bce1: 0.7293065, bce2: 0.7218755, bce3: 0.7134825, hinge1: 1.9909065, hinge2: 1.9790325, hinge3: 2.1002435, cla: 2.0942835, lr: 0.0000008
iter: 128, bce1: 0.7294635, bce2: 0.7216045, bce3: 0.7137445, hinge1: 1.9891245, hinge2: 1.9781165, hinge3: 2.1050865, cla: 2.0876335, lr: 0.0000008
iter: 129, bce1: 0.7294065, bce2: 0.7215475, bce3: 0.7137635, hinge1: 1.9897855, hinge2: 1.9787745, hinge3: 2.1097815, cla: 2.0980085, lr: 0.0000008
iter: 130, bce1: 0.7293355, bce2: 0.7214415, bce3: 0.7139805, hinge1: 1.9907785, hinge2: 1.9813745, hinge3: 2.1126845, cla: 2.0915815, lr: 0.0000008
iter: 131, bce1: 0.7292075, bce2: 0.7216635, bce3: 0.7142845, hinge1: 1.9923525, hinge2: 1.9834445, hinge3: 2.1093835, cla: 2.0866765, lr: 0.0000008
iter: 132, bce1: 0.7290715, bce2: 0.7215455, bce3: 0.7140235, hinge1: 1.9927175, hinge2: 1.9847505, hinge3: 2.1118625, cla: 2.0806315, lr: 0.0000008
iter: 133, bce1: 0.7287855, bce2: 0.7217085, bce3: 0.7140235, hinge1: 1.9930405, hinge2: 1.9857335, hinge3: 2.1126385, cla: 2.0778225, lr: 0.0000008
iter: 134, bce1: 0.7289095, bce2: 0.7213575, bce3: 0.7151085, hinge1: 1.9956605, hinge2: 1.9869845, hinge3: 2.1150575, cla: 2.0732865, lr: 0.0000008
iter: 135, bce1: 0.7289955, bce2: 0.7213975, bce3: 0.7152165, hinge1: 1.9933335, hinge2: 1.9841865, hinge3: 2.1203415, cla: 2.0725895, lr: 0.0000008
iter: 136, bce1: 0.7290455, bce2: 0.7209955, bce3: 0.7144075, hinge1: 1.9911115, hinge2: 1.9803745, hinge3: 2.1154815, cla: 2.0790905, lr: 0.0000008
